Name,BundleID,ImageSrc,ImageFile
Ajustes,com.apple.Preferences,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/10da108a1ca2e743e53ff6b830473174.png","images/com_apple_preferences.png"
App Store,com.apple.AppStore,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/071e3d808543888575c6809333e268ee.png","images/com_apple_appstore.png"
Apple Store,com.apple.store.Jolly,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/3aa245d67f58556018efaf0a0e703363.png","images/com_apple_store_jolly.png"
Apple Vision Pro,com.apple.visionproapp,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/68132eb07bb1f0d65cc8c747a395be74.png","images/com_apple_visionproapp.png"
Apple Watch,com.apple.Bridge,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/a03bb76334d7e969a2bbcbeefc515790.png","images/com_apple_bridge.png"
Archivos,com.apple.DocumentsApp,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/6f00e551511672f29c1dfb5cd6a4a601.png","images/com_apple_documentsapp.png"
Atajos,com.apple.shortcuts,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/e30464a5cf17b16480a09f289231c001.png","images/com_apple_shortcuts.png"
Bolsa,com.apple.stocks,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/7a26f608955529ffd4e770512cc7a716.png","images/com_apple_stocks.png"
Brújula,com.apple.compass,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/e1ae2449ece5ff4a768f606d8b852b16.png","images/com_apple_compass.png"
Buscar,com.apple.findmy,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/5950824507e491d57be65034bf29a0ab.png","images/com_apple_findmy.png"
Calculadora,com.apple.calculator,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/ab8dd0573297379c23f2d9fc443be5b4.png","images/com_apple_calculator.png"
Calendario,com.apple.mobilecal,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/3b5c36477ba794ef9004c1675eb424d4.png","images/com_apple_mobilecal.png"
Cámara,com.apple.camera,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/d83b0c771bd8e11eff8fb422eb26f899.png","images/com_apple_camera.png"
Cartera,com.apple.Passbook,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/59444fe32082698a130fb0e842f45f49.png","images/com_apple_passbook.png"
Casa,com.apple.Home,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/1205f679b38b123bc51ae6f39f928425.png","images/com_apple_home.png"
Clips,com.apple.clips,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/dd89c64a50298e69d1e7cf960d52726f.png","images/com_apple_clips.png"
Consejos,com.apple.tips,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/4adb39ac3f65db381333d01c51f5319b.png","images/com_apple_tips.png"
Contactos,com.apple.MobileAddressBook,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/ac29af9afd2d17634110bf8d2fa68727.png","images/com_apple_mobileaddressbook.png"
Contraseñas,com.apple.Passwords,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/55ca219f0b08e951bc9ce37e5294a5bf.png","images/com_apple_passwords.png"
Desarrollador,developer.apple.wwdc-Release,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/964ccbcbded3058f3a838b85b7d24c2f.png","images/developer_apple_wwdc-release.png"
Diario,com.apple.journal,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/73b9ae126aee1b78cf3a0326c16f2eb6.png","images/com_apple_journal.png"
FaceTime,com.apple.facetime,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/es_ES/9868795ff25ef207a95d8374ae894aba.png","images/com_apple_facetime.png"
