Name,BundleID,Icon
App Store,com.apple.AppStore,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/96426e514e8d7a61582484074bcc45b8.png"
Apple Store,com.apple.store.Jolly,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/b2881b6dc934a86e35cabd5b1cea04d7.png"
Clips,com.apple.clips,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/db4a600f94b01081bc7465360d1224d4.png"
FaceTime,com.apple.facetime,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/41f9ab48e1f232a876c8151d5ac0f624.png"
GarageBand,com.apple.mobilegarageband,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/0f841429c6c8ee40503d92a613ae39bf.png"
iCloud Drive,com.apple.iCloudDriveApp,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/c396f6a8b5dbddb3c16305d09dc50bf0.png"
Image Playground,com.apple.GenerativePlaygroundApp,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/a4e9cfb76cffda764ffd42814f24ad84.png"
iMovie,com.apple.iMovie,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/047cd8cc1ee8e11e23526c4e13d36b83.png"
iTunes Store,com.apple.MobileStore,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/fc84d3f76f5e4c994a31a19bb20f8024.png"
Keynote,com.apple.Keynote,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/99dec81ae642515ae23dda1df9ccf473.png"
News,com.apple.news,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/5902d4f959872384818a58ca6a1ae6d2.png"
Numbers,com.apple.Numbers,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/1ad975d8d6d73976f28bd2989ff623e6.png"
Pages,com.apple.Pages,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/df93cc9c0b4eca27c6bda3ad27050405.png"
Photo Booth,com.apple.Photo-Booth,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/1f342434cb220654d752fc7e1a89c047.png"
Safari,com.apple.mobilesafari,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/164477f6e7625112669ec4331fe37ed6.png"
Swift Playgrounds,com.apple.Playgrounds,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/5fbf9f6dd414b51b287b39b6187e6a99.png"
TV,com.apple.tv,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/8e6906b1c11f413896b408e665fc0471.png"
Watch,com.apple.Bridge,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/88bbdf6763f0a0824b3ff636dd757e17.png"
ウォレット,com.apple.Passbook,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/226f3fa27b98e21cbfc3bcfb1567e5f5.png"
カメラ,com.apple.camera,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/852af75bbc61abf8ee80521e6e720a53.png"
カレンダー,com.apple.mobilecal,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/4012120dbfaeda4929262728c801c45a.png"
コードスキャナ,com.apple.BarcodeScanner,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/6d763bf7333100d4169805acf48af972.png"
コンパス,com.apple.compass,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/9b0fd77dd7bb2fd155a3105ae207c5cf.png"
ジャーナル,com.apple.journal,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/6fbb5e5edde48d5f12f870d5b2a51441.png"
ショートカット,com.apple.shortcuts,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/4df05abf5b188d68885bccb1bcf2850f.png"
デベロッパ,developer.apple.wwdc-Release,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/5053f7e86ca80433daf81d6db7e3be94.png"
パスワード,com.apple.Passwords,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/a9577e5c83f469a17e56113042450600.png"
ヒント,com.apple.tips,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/9cf29cf7a2549bbda39f06f3c2ea7001.png"
ファイル,com.apple.DocumentsApp,"https://help.apple.com/assets/675C7EA493F17C59DA03ED37/675C7EA805331F3F6B02131C/ja_JP/bbba03c60b17e15b9b3965610bb5113d.png"
