Name,BundleID,ImageSrc,ImageFile
备忘录,com.apple.mobilenotes,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/0023b78fd2538767108dda657985d7d7.png","images/com_apple_mobilenotes.png"
播客,com.apple.podcasts,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/4914435d08e26901613dd885d33e874a.png","images/com_apple_podcasts.png"
测距仪,com.apple.measure,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/57cc1c3a10ef36f79edc6f0c2e340f96.png","images/com_apple_measure.png"
查找,com.apple.findmy,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/5950824507e491d57be65034bf29a0ab.png","images/com_apple_findmy.png"
地图,com.apple.Maps,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/4b6688e61702fb24a58390662791ed71.png","images/com_apple_maps.png"
电话,com.apple.mobilephone,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/4d33e010b45a62316127fae0e1dc7d58.png","images/com_apple_mobilephone.png"
翻译,com.apple.Translate,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/74aa668910bcfb88d7e8aa3f80a1f6f3.png","images/com_apple_translate.png"
放大器,com.apple.Magnifier,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/0736d744dd29d0e6cb343873689a2ca8.png","images/com_apple_magnifier.png"
股市,com.apple.stocks,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/7a26f608955529ffd4e770512cc7a716.png","images/com_apple_stocks.png"
活动邀请,com.apple.rsvp,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/1914fc663f67825e1d88aa229056328b.png","images/com_apple_rsvp.png"
计算器,com.apple.calculator,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/ab8dd0573297379c23f2d9fc443be5b4.png","images/com_apple_calculator.png"
家庭,com.apple.Home,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/1205f679b38b123bc51ae6f39f928425.png","images/com_apple_home.png"
健康,com.apple.Health,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/65718d0717bdb4b6e4c9c3f3e62df0a8.png","images/com_apple_health.png"
健身,com.apple.Fitness,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/f594631046db54f6326160c45fa6c9ea.png","images/com_apple_fitness.png"
可立拍,com.apple.clips,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/dd89c64a50298e69d1e7cf960d52726f.png","images/com_apple_clips.png"
库乐队,com.apple.mobilegarageband,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/9ded1a37474fc59b6451a6373a142ad7.png","images/com_apple_mobilegarageband.png"
快捷指令,com.apple.shortcuts,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/e30464a5cf17b16480a09f289231c001.png","images/com_apple_shortcuts.png"
密码,com.apple.Passwords,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/55ca219f0b08e951bc9ce37e5294a5bf.png","images/com_apple_passwords.png"
钱包,com.apple.Passbook,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/59444fe32082698a130fb0e842f45f49.png","images/com_apple_passbook.png"
日历,com.apple.mobilecal,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/4ee6714debeacca3529d10e1c7788537.png","images/com_apple_mobilecal.png"
设置,com.apple.Preferences,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/10da108a1ca2e743e53ff6b830473174.png","images/com_apple_preferences.png"
时钟,com.apple.mobiletimer,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/cf7887851fe5a3de6c26e36bcfa1288a.png","images/com_apple_mobiletimer.png"
视频,com.apple.tv,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/25f38412b910d9c8e9aa0b501e4ba5ab.png","images/com_apple_tv.png"
手记,com.apple.journal,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/73b9ae126aee1b78cf3a0326c16f2eb6.png","images/com_apple_journal.png"
提示,com.apple.tips,"https://help.apple.com/assets/68DAC6E52F03DC81360CDE2C/68DAC6E92F03DC81360CDE32/zh_CN/4adb39ac3f65db381333d01c51f5319b.png","images/com_apple_tips.png"
